"CloseDate","ClosePrice","Ret1D","Var","VarL1","VarL2","VarL3","VarL4","VarL5"
2016-10-26,1.0914,0.00220143181917105,4.84630205445878e-06,4.13446724997674e-07,2.16461962093484e-06,3.34156613199085e-05,8.02144772634415e-06,4.78378961066069e-06
2016-10-27,1.0918,0.000366434595525822,1.34274312798173e-07,4.84630205445878e-06,4.13446724997674e-07,2.16461962093484e-06,3.34156613199085e-05,8.02144772634415e-06
2016-10-28,1.0931,0.00118998595213242,1.4160665662725e-06,1.34274312798173e-07,4.84630205445878e-06,4.13446724997674e-07,2.16461962093484e-06,3.34156613199085e-05
2016-10-31,1.0962,0.00283195731222635,8.0199822182723e-06,1.4160665662725e-06,1.34274312798173e-07,4.84630205445878e-06,4.13446724997674e-07,2.16461962093484e-06
2016-11-01,1.105,0.00799568133983708,6.39309200882189e-05,8.0199822182723e-06,1.4160665662725e-06,1.34274312798173e-07,4.84630205445878e-06,4.13446724997674e-07
2016-11-02,1.1116,0.00595508391649541,3.54630244525023e-05,6.39309200882189e-05,8.0199822182723e-06,1.4160665662725e-06,1.34274312798173e-07,4.84630205445878e-06
2016-11-03,1.1094,-0.00198109024721446,3.92471856760826e-06,3.54630244525023e-05,6.39309200882189e-05,8.0199822182723e-06,1.4160665662725e-06,1.34274312798173e-07
2016-11-04,1.1123,0.00261061497684954,6.81531055735114e-06,3.92471856760826e-06,3.54630244525023e-05,6.39309200882189e-05,8.0199822182723e-06,1.4160665662725e-06
2016-11-07,1.104,-0.00748999576094296,5.61000364989435e-05,6.81531055735114e-06,3.92471856760826e-06,3.54630244525023e-05,6.39309200882189e-05,8.0199822182723e-06
2016-11-08,1.1048,0.000724375258041671,5.24719514462937e-07,5.61000364989435e-05,6.81531055735114e-06,3.92471856760826e-06,3.54630244525023e-05,6.39309200882189e-05
2016-11-09,1.0943,-0.00954943367068499,9.11916834308122e-05,5.24719514462937e-07,5.61000364989435e-05,6.81531055735114e-06,3.92471856760826e-06,3.54630244525023e-05
2016-11-10,1.0871,-0.00660128921444274,4.3577019292718e-05,9.11916834308122e-05,5.24719514462937e-07,5.61000364989435e-05,6.81531055735114e-06,3.92471856760826e-06
2016-11-11,1.0847,-0.0022101491637828,4.88475932616982e-06,4.3577019292718e-05,9.11916834308122e-05,5.24719514462937e-07,5.61000364989435e-05,6.81531055735114e-06
2016-11-14,1.072,-0.0117773884154245,0.000138706877887775,4.88475932616982e-06,4.3577019292718e-05,9.11916834308122e-05,5.24719514462937e-07,5.61000364989435e-05
2016-11-15,1.0736,0.00149142458666988,2.22434729772344e-06,0.000138706877887775,4.88475932616982e-06,4.3577019292718e-05,9.11916834308122e-05,5.24719514462937e-07
2016-11-16,1.0679,-0.00532338403991767,2.83384176364501e-05,2.22434729772344e-06,0.000138706877887775,4.88475932616982e-06,4.3577019292718e-05,9.11916834308122e-05
2016-11-17,1.066,-0.00178077745170967,3.17116833251758e-06,2.83384176364501e-05,2.22434729772344e-06,0.000138706877887775,4.88475932616982e-06,4.3577019292718e-05
2016-11-18,1.0582,-0.00734397425575853,5.3933957869244e-05,3.17116833251758e-06,2.83384176364501e-05,2.22434729772344e-06,0.000138706877887775,4.88475932616982e-06
2016-11-21,1.0613,0.00292522029774534,8.55691379034134e-06,5.3933957869244e-05,3.17116833251758e-06,2.83384176364501e-05,2.22434729772344e-06,0.000138706877887775
2016-11-22,1.061,-0.000282712153793635,7.99261619026359e-08,8.55691379034134e-06,5.3933957869244e-05,3.17116833251758e-06,2.83384176364501e-05,2.22434729772344e-06
2016-11-23,1.0547,-0.00595549333141457,3.54679008205234e-05,7.99261619026359e-08,8.55691379034134e-06,5.3933957869244e-05,3.17116833251758e-06,2.83384176364501e-05
2016-11-24,1.0576,0.00274582381485342,7.53954842221616e-06,3.54679008205234e-05,7.99261619026359e-08,8.55691379034134e-06,5.3933957869244e-05,3.17116833251758e-06
2016-11-25,1.0598,0.00207802096123984,4.31817111535217e-06,7.53954842221616e-06,3.54679008205234e-05,7.99261619026359e-08,8.55691379034134e-06,5.3933957869244e-05
2016-11-28,1.0597,-9.4361877871374e-05,8.90416399541209e-09,4.31817111535217e-06,7.53954842221616e-06,3.54679008205234e-05,7.99261619026359e-08,8.55691379034134e-06
2016-11-29,1.061,0.00122601043319268,1.50310158229731e-06,8.90416399541209e-09,4.31817111535217e-06,7.53954842221616e-06,3.54679008205234e-05,7.99261619026359e-08
2016-11-30,1.0569,-0.00387176459868149,1.49905611076032e-05,1.50310158229731e-06,8.90416399541209e-09,4.31817111535217e-06,7.53954842221616e-06,3.54679008205234e-05
2016-12-01,1.0626,0.00537864000154125,2.89297682661797e-05,1.49905611076032e-05,1.50310158229731e-06,8.90416399541209e-09,4.31817111535217e-06,7.53954842221616e-06
2016-12-02,1.0672,0.00431966114451635,1.86594724034443e-05,2.89297682661797e-05,1.49905611076032e-05,1.50310158229731e-06,8.90416399541209e-09,4.31817111535217e-06
2016-12-05,1.0726,0.00504721138746561,2.54743427897625e-05,1.86594724034443e-05,2.89297682661797e-05,1.49905611076032e-05,1.50310158229731e-06,8.90416399541209e-09
2016-12-06,1.0732,0.000559232002644197,3.12740432781439e-07,2.54743427897625e-05,1.86594724034443e-05,2.89297682661797e-05,1.49905611076032e-05,1.50310158229731e-06
2016-12-07,1.0754,0.00204784582410862,4.19367251931912e-06,3.12740432781439e-07,2.54743427897625e-05,1.86594724034443e-05,2.89297682661797e-05,1.49905611076032e-05
2016-12-08,1.06175,-0.0127741951821971,0.000163180062552868,4.19367251931912e-06,3.12740432781439e-07,2.54743427897625e-05,1.86594724034443e-05,2.89297682661797e-05
2016-12-09,1.0541,-0.00723116793223697,5.22897896642123e-05,0.000163180062552868,4.19367251931912e-06,3.12740432781439e-07,2.54743427897625e-05,1.86594724034443e-05
2016-12-12,1.05985,0.00544006639760235,2.95943224103223e-05,5.22897896642123e-05,0.000163180062552868,4.19367251931912e-06,3.12740432781439e-07,2.54743427897625e-05
2016-12-13,1.06505,0.00489435773954754,2.39547376826689e-05,2.95943224103223e-05,5.22897896642123e-05,0.000163180062552868,4.19367251931912e-06,3.12740432781439e-07
2016-12-14,1.0655,0.00042242614037849,1.78443844075068e-07,2.39547376826689e-05,2.95943224103223e-05,5.22897896642123e-05,0.000163180062552868,4.19367251931912e-06
2016-12-15,1.03965,-0.0245600545065686,0.000603196277365619,1.78443844075068e-07,2.39547376826689e-05,2.95943224103223e-05,5.22897896642123e-05,0.000163180062552868
2016-12-16,1.0451,0.00522845656835457,2.73367580871701e-05,0.000603196277365619,1.78443844075068e-07,2.39547376826689e-05,2.95943224103223e-05,5.22897896642123e-05
2016-12-19,1.04455,-0.000526403955399511,2.77101124260251e-07,2.73367580871701e-05,0.000603196277365619,1.78443844075068e-07,2.39547376826689e-05,2.95943224103223e-05
2016-12-20,1.0375,-0.00677219754020496,4.58626595235582e-05,2.77101124260251e-07,2.73367580871701e-05,0.000603196277365619,1.78443844075068e-07,2.39547376826689e-05
2016-12-21,1.04285,0.00514337663779063,2.64543232381705e-05,4.58626595235582e-05,2.77101124260251e-07,2.73367580871701e-05,0.000603196277365619,1.78443844075068e-07
2016-12-22,1.0454,0.00244223753617748,5.96452418311427e-06,2.64543232381705e-05,4.58626595235582e-05,2.77101124260251e-07,2.73367580871701e-05,0.000603196277365619
2016-12-23,1.045,-0.000382701879910255,1.46460728886843e-07,5.96452418311427e-06,2.64543232381705e-05,4.58626595235582e-05,2.77101124260251e-07,2.73367580871701e-05
2016-12-27,1.0461,0.00105207795080389,1.1068680145677e-06,1.46460728886843e-07,5.96452418311427e-06,2.64543232381705e-05,4.58626595235582e-05,2.77101124260251e-07
2016-12-28,1.0395,-0.0063291350516475,4.0057950501993e-05,1.1068680145677e-06,1.46460728886843e-07,5.96452418311427e-06,2.64543232381705e-05,4.58626595235582e-05
2016-12-29,1.0486,0.00871611284036469,7.59706230459701e-05,4.0057950501993e-05,1.1068680145677e-06,1.46460728886843e-07,5.96452418311427e-06,2.64543232381705e-05
2016-12-30,1.0558,0.00684283225108354,4.68243532164691e-05,7.59706230459701e-05,4.0057950501993e-05,1.1068680145677e-06,1.46460728886843e-07,5.96452418311427e-06
2017-01-03,1.0416,-0.013540780935211,0.000183352748335375,4.68243532164691e-05,7.59706230459701e-05,4.0057950501993e-05,1.1068680145677e-06,1.46460728886843e-07
2017-01-04,1.0484,0.00650719999494639,4.23436517742304e-05,0.000183352748335375,4.68243532164691e-05,7.59706230459701e-05,4.0057950501993e-05,1.1068680145677e-06
2017-01-05,1.05885,0.00991822106033967,9.83711090017653e-05,4.23436517742304e-05,0.000183352748335375,4.68243532164691e-05,7.59706230459701e-05,4.0057950501993e-05
2017-01-06,1.0564,-0.00231651208661379,5.36622824742775e-06,9.83711090017653e-05,4.23436517742304e-05,0.000183352748335375,4.68243532164691e-05,7.59706230459701e-05
2017-01-09,1.0569,0.000473193592324443,2.23912175816911e-07,5.36622824742775e-06,9.83711090017653e-05,4.23436517742304e-05,0.000183352748335375,4.68243532164691e-05
2017-01-10,1.05785,0.000898451414024844,8.07214943363241e-07,2.23912175816911e-07,5.36622824742775e-06,9.83711090017653e-05,4.23436517742304e-05,0.000183352748335375
2017-01-11,1.0492,-0.00821057743660792,6.74135818425351e-05,8.07214943363241e-07,2.23912175816911e-07,5.36622824742775e-06,9.83711090017653e-05,4.23436517742304e-05
2017-01-12,1.0658,0.0156977218699634,0.000246418471906728,6.74135818425351e-05,8.07214943363241e-07,2.23912175816911e-07,5.36622824742775e-06,9.83711090017653e-05
2017-01-13,1.0614,-0.00413689946888746,1.71139372156813e-05,0.000246418471906728,6.74135818425351e-05,8.07214943363241e-07,2.23912175816911e-07,5.36622824742775e-06
2017-01-16,1.0599,-0.00141422736058521,2.00003902742781e-06,1.71139372156813e-05,0.000246418471906728,6.74135818425351e-05,8.07214943363241e-07,2.23912175816911e-07
2017-01-17,1.0702,0.009670982843995,9.35279091688456e-05,2.00003902742781e-06,1.71139372156813e-05,0.000246418471906728,6.74135818425351e-05,8.07214943363241e-07
2017-01-18,1.0687,-0.00140259034635327,1.9672596796834e-06,9.35279091688456e-05,2.00003902742781e-06,1.71139372156813e-05,0.000246418471906728,6.74135818425351e-05
2017-01-19,1.06325,-0.00511270139710807,2.61397155759908e-05,1.9672596796834e-06,9.35279091688456e-05,2.00003902742781e-06,1.71139372156813e-05,0.000246418471906728
2017-01-20,1.0675,0.00398921096903657,1.59138041554817e-05,2.61397155759908e-05,1.9672596796834e-06,9.35279091688456e-05,2.00003902742781e-06,1.71139372156813e-05
2017-01-23,1.07335,0.005465132597318,2.98676743062678e-05,1.59138041554817e-05,2.61397155759908e-05,1.9672596796834e-06,9.35279091688456e-05,2.00003902742781e-06
2017-01-24,1.0754,0.00190808667548012,3.64079476114478e-06,2.98676743062678e-05,1.59138041554817e-05,2.61397155759908e-05,1.9672596796834e-06,9.35279091688456e-05
2017-01-25,1.0735,-0.001768347056742,3.12705131308811e-06,3.64079476114478e-06,2.98676743062678e-05,1.59138041554817e-05,2.61397155759908e-05,1.9672596796834e-06
2017-01-26,1.0665,-0.00654207940743036,4.27988029731244e-05,3.12705131308811e-06,3.64079476114478e-06,2.98676743062678e-05,1.59138041554817e-05,2.61397155759908e-05
2017-01-27,1.06925,0.00257520919561277,6.63170240116857e-06,4.27988029731244e-05,3.12705131308811e-06,3.64079476114478e-06,2.98676743062678e-05,1.59138041554817e-05
